,id,title
0,tt0068646,The Godfather
1,tt0102926,The Silence of the Lambs
2,tt0080684,Star Wars: Episode V - The Empire Strikes Back
3,tt0111161,The Shawshank Redemption
4,tt0081505,The Shining
5,tt0034583,Casablanca
6,tt0073486,One Flew Over the Cuckoo's Nest
7,tt0082971,Indiana Jones and the Raiders of the Lost Ark
8,tt0167260,The Lord of the Rings: The Return of the King
9,tt0076759,Star Wars: Episode IV - A New Hope
10,tt0468569,The Dark Knight
11,tt0071562,The Godfather Part II
12,tt0090605,Aliens
13,tt0108052,Schindler's List
14,tt1375666,Inception
15,tt0120737,The Lord of the Rings: The Fellowship of the Ring
16,tt0078748,Alien
17,tt0053291,Some Like It Hot
18,tt0083658,Blade Runner
19,tt0114369,Se7en
20,tt0078788,Apocalypse Now
21,tt0050083,12 Angry Men
22,tt0167261,The Lord of the Rings: The Two Towers
23,tt0103064,Terminator 2: Judgment Day
24,tt0086190,Star Wars: Episode VI - Return of the Jedi
25,tt0095016,Die Hard
26,tt0031381,Gone with the Wind
27,tt0075314,Taxi Driver
28,tt0110912,Pulp Fiction
29,tt0050212,The Bridge on the River Kwai
30,tt0110357,The Lion King
31,tt0053125,North by Northwest
32,tt0047396,Rear Window
33,tt0110413,Léon: The Professional
34,tt0088763,Back to the Future
35,tt0033467,Citizen Kane
36,tt0099685,Goodfellas
37,tt0209144,Memento
38,tt0169547,American Beauty
39,tt0119822,As Good as It Gets
40,tt0109830,Forrest Gump
41,tt0045152,Singin' in the Rain
42,tt0112573,Braveheart
43,tt0120815,Saving Private Ryan
44,tt0095953,Rain Man
45,tt1504320,The King's Speech
46,tt0062622,2001: A Space Odyssey
47,tt0266697,Kill Bill: Vol. 1
48,tt0068240,Avanti!
49,tt0060196,"The Good, the Bad and the Ugly"
50,tt0211915,Amélie
51,tt0027977,Modern Times
52,tt0335266,Lost in Translation
53,tt0093058,Full Metal Jacket
54,tt0180093,Requiem for a Dream
55,tt0137523,Fight Club
56,tt0477348,No Country for Old Men
57,tt1853728,Django Unchained
58,tt0206634,Children of Men
59,tt0382932,Ratatouille
60,tt0405094,The Lives of Others
61,tt0482571,The Prestige
62,tt0434409,V for Vendetta
63,tt0071315,Chinatown
64,tt0317248,City of God
65,tt0037382,To Have and Have Not
66,tt0116282,Fargo
67,tt0454876,Life of Pi
68,tt1010048,Slumdog Millionaire
69,tt0052357,Vertigo
70,tt0117951,Trainspotting
71,tt0816692,Interstellar
72,tt0084787,The Thing
73,tt0041959,The Third Man
74,tt0114746,12 Monkeys
75,tt0118799,Life Is Beautiful
76,tt0253474,The Pianist
77,tt0175880,Magnolia
78,tt1345836,The Dark Knight Rises
79,tt2488496,Star Wars: Episode VII - The Force Awakens
80,tt1170358,The Hobbit: The Desolation of Smaug
81,tt1392190,Mad Max: Fury Road
82,tt2024544,12 Years a Slave
83,tt0097576,Indiana Jones and the Last Crusade
84,tt0190590,"O Brother, Where Art Thou?"
85,tt0361748,Inglourious Basterds
86,tt0407887,The Departed
87,tt0268978,A Beautiful Mind
88,tt1136608,District 9
89,tt0107822,The Piano
90,tt0327056,Mystic River
91,tt0140352,The Insider
92,tt0119488,L.A. Confidential
93,tt0113277,Heat
94,tt0114814,The Usual Suspects
95,tt0061512,Cool Hand Luke
96,tt0338013,Eternal Sunshine of the Spotless Mind
97,tt0021749,City Lights
98,tt0133093,The Matrix
99,tt0401792,Sin City
